extended_equipment;Aircraft_Type
Cessna F172N Skyhawk;Passenger
Cessna FA152 Aerobat;Passenger
Cessna T182T Turbo Skylane;Passenger
De Havilland Canada Dash 8-400;Passenger
Embraer E190LR;Passenger
Embraer E195LR;Passenger
Embraer ERJ-195LR;Passenger
Just Escapade 912(2);Passenger
McDonnell Douglas MD-10-30F;Freighter
McDonnell Douglas MD-11F;Freighter
Mitsubishi CRJ-900LR;Passenger
Piper PA-18 Super Cub;Passenger
Piper PA-18-150 Super Cub;Passenger
Piper PA-28-151;Passenger
Piper PA-31T2 Cheyenne II;Passenger
Robin HR-200;Passenger
Robin HR200/120B;Passenger
Robinson R44 Cadet;Passenger
Robinson R44 Raven II;Helicopter
Rockwell Commander 112;Passenger
Slingsby T67M Firefly;Passenger
Sukhoi Superjet 100-95LR;Passenger
